Waypoints
Date,Name,Latitude,Longitude,Altitude (m),Notes
2018-03-24 10:37:31.74,,52.045127,5.172255,-1.69091796875,"(null)"
2018-03-24 10:38:23.06,,52.045117,5.171451,5.51031494140625,"(null)"
2018-03-24 10:39:19.19,,52.044837,5.170666,2.15045166015625,"(null)"
2018-03-24 10:40:31.62,,52.044992,5.169944,3.0999755859375,"(null)"
2018-03-24 10:41:18.10,,52.045040,5.169177,1.4921875,"(null)"
2018-03-24 10:43:04.32,,52.044808,5.168568,-1.61236572265625,"(null)"
2018-03-24 10:43:51.03,,52.044582,5.167930,-1.67547607421875,"(null)"
2018-03-24 10:45:06.88,,52.044588,5.167926,-0.92132568359375,"(null)"
2018-03-24 10:45:50.23,,52.044726,5.167269,-0.60565185546875,"(null)"
2018-03-24 10:46:22.61,,52.044730,5.167247,1.7921142578125,"(null)"
2018-03-24 10:46:58.01,,52.044724,5.166564,2.37554931640625,"(null)"
2018-03-24 10:47:40.04,,52.044677,5.165843,3.09918212890625,"(null)"
2018-03-24 10:48:15.66,,52.044609,5.165150,5.23193359375,"(null)"
2018-03-24 10:49:21.33,,52.044375,5.164228,4.5018310546875,"(null)"
2018-03-24 10:50:04.81,,52.044813,5.164192,0.958740234375,"(null)"
2018-03-24 10:51:22.95,,52.045333,5.164196,-4.811279296875,"(null)"
2018-03-24 10:51:59.10,,52.045667,5.164212,-2.63934326171875,"(null)"
2018-03-24 10:52:42.79,,52.045674,5.164982,0.18780517578125,"(null)"
2018-03-24 10:53:14.37,,52.045679,5.164985,-0.49822998046875,"(null)"
2018-03-24 10:53:58.32,,52.045679,5.165863,-1.4112548828125,"(null)"
2018-03-24 10:55:21.62,,52.045649,5.166826,-2.62628173828125,"(null)"
2018-03-24 10:56:00.28,,52.045665,5.167587,-5.84564208984375,"(null)"
2018-03-24 10:56:47.61,,52.045715,5.168509,-4.2467041015625,"(null)"
2018-03-24 10:57:32.16,,52.045736,5.169164,-6.03851318359375,"(null)"
2018-03-24 10:58:21.86,,52.045734,5.170041,-8.76849365234375,"(null)"
2018-03-24 10:59:28.50,,52.045719,5.170805,-10.24407958984375,"(null)"
2018-03-24 11:00:06.62,,52.045727,5.171590,-9.6080322265625,"(null)"
2018-03-24 11:00:42.19,,52.045778,5.172285,-7.87518310546875,"(null)"
2018-03-24 11:01:24.83,,52.045795,5.173190,-4.40325927734375,"(null)"

Track
Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2018-03-24 10:38:47.00,2018-03-24 11:38:47.00,149.5303970575333,52.045015,5.171235,5,4.68695068359375,4,132.8173043887849,1.360000014305115,1.654901847163353,228.8671875,171.3057556152344,169.9836883544922,25,-37.14086353982163
2018-03-24 10:38:50.00,2018-03-24 11:38:50.00,152.530396938324,52.044987,5.171174,5,5.35693359375,3,138.0747485582651,1.830000042915344,1.654901847163353,241.5234375,166.0040893554688,164.6820220947266,25,-16.84253917055094
2018-03-24 10:38:54.00,2018-03-24 11:38:54.00,156.5303970575333,52.044966,5.171100,5,5.00811767578125,3,143.6668815084559,1.299999952316284,1.654901847163353,242.9296875,173.8593902587891,172.5373229980469,25,-24.06460405500959
2018-03-24 10:38:58.00,2018-03-24 11:38:58.00,160.530397772789,52.044938,5.171019,5,4.7767333984375,3,150.0467180229875,1.730000019073486,1.654901847163353,233.4375,175.8305358886719,174.5084686279297,25,-44.62925997599569
2018-03-24 10:38:59.19,2018-03-24 11:38:59.19,160.530397772789,52.044938,5.171019,5,4.7767333984375,3,150.0467180229875,1.730000019073486,1.731396048315095,233.4375,175.8305358886719,174.5084686279297,25,-44.62925997599569
2018-03-24 10:39:02.00,2018-03-24 11:39:02.00,164.5303970575333,52.044910,5.170949,5,2.13104248046875,4,155.7246113658537,1.460000038146973,1.731396048315095,241.171875,173.4650726318359,172.1430053710938,25,-38.94706915612856
2018-03-24 10:39:06.00,2018-03-24 11:39:06.00,168.530396938324,52.044884,5.170874,5,2.795166015625,4,161.6317383964202,1.649999976158142,1.731396048315095,248.203125,188.6137237548828,187.2916564941406,25,-25.55781848952958
2018-03-24 10:39:10.00,2018-03-24 11:39:10.00,172.5303978919983,52.044862,5.170803,5,2.5721435546875,4,167.0765548555921,1.289999961853027,1.731396048315095,251.3671875,180.6093292236328,179.2872619628906,25,-18.56973175613192
2018-03-24 10:39:14.00,2018-03-24 11:39:14.00,176.5303962230682,52.044852,5.170723,5,2.4718017578125,4,172.6904518649245,1.350000023841858,1.731396048315095,253.125,186.3006896972656,184.9786224365234,25,-18.14794147813753
2018-03-24 10:39:14.19,2018-03-24 11:39:14.19,176.5303962230682,52.044852,5.170723,5,2.7545166015625,4,172.6904518649245,1.350000023841858,1.321355919777363,253.125,186.3006896972656,184.9786224365234,25,-18.14794147813753
2018-03-24 10:39:27.00,2018-03-24 11:39:27.00,189.530397772789,52.044829,5.170636,5,2.6497802734375,3,179.0886680019553,1.110000014305115,1.321355919777363,268.59375,215.0723266601562,213.7502593994141,25,-11.87107006226088
2018-03-24 10:39:29.19,2018-03-24 11:39:29.19,189.530397772789,52.044829,5.170636,5,1.87225341796875,3,179.0886680019553,1.110000014305115,1.008981409219009,268.59375,215.0723266601562,213.7502593994141,25,-11.87107006226088
2018-03-24 10:39:31.00,2018-03-24 11:39:31.00,193.530396938324,52.044830,5.170551,5,2.06707763671875,3,184.9474286323924,1.460000038146973,1.008981409219009,299.53125,222.8275299072266,221.5054626464844,25,-13.6009269646578
2018-03-24 10:39:34.00,2018-03-24 11:39:34.00,196.5303965806961,52.044854,5.170483,5,3.01824951171875,4,190.3305123751103,1.730000019073486,1.008981409219009,271.7578125,217.7102813720703,216.3882141113281,25,-25.7540671427322
2018-03-24 10:39:38.00,2018-03-24 11:39:38.00,200.5303976535797,52.044867,5.170400,5,3.6654052734375,4,196.1800150161494,1.379999995231628,1.008981409219009,289.6875,214.6844024658203,213.3623352050781,25,2190.749794516576
2018-03-24 10:39:42.00,2018-03-24 11:39:42.00,204.530396938324,52.044881,5.170314,5,2.667236328125,4,202.2493005120484,1.769999980926514,1.008981409219009,298.4765625,226.4231262207031,225.1010589599609,25,55.15259993786256
2018-03-24 10:39:44.18,2018-03-24 11:39:44.18,204.530396938324,52.044881,5.170314,5,2.902099609375,4,202.2493005120484,1.769999980926514,1.583465797051557,298.4765625,226.4231262207031,225.1010589599609,25,55.15259993786256
2018-03-24 10:39:46.00,2018-03-24 11:39:46.00,208.5303964614868,52.044900,5.170234,5,3.23095703125,4,208.1556629154638,1.330000042915344,1.583465797051557,290.390625,235.9203796386719,234.5983123779297,25,50.38894347754628
2018-03-24 10:39:50.00,2018-03-24 11:39:50.00,212.5303962230682,52.044923,5.170161,5,2.81524658203125,4,213.7912399338509,1.470000028610229,1.583465797051557,313.9453125,235.631103515625,234.3090362548828,25,54.01034801612023
2018-03-24 10:39:53.00,2018-03-24 11:39:53.00,215.5303972959518,52.044959,5.170097,5,3.05303955078125,4,219.6853548126232,1.940000057220459,1.583465797051557,298.828125,238.0941009521484,236.7720336914062,25,53.47720615014969
2018-03-24 10:39:56.00,2018-03-24 11:39:56.00,218.5303972959518,52.044976,5.170024,5,1.891357421875,4,225.0076870756162,1.690000057220459,1.583465797051557,280.8984375,226.7501373291016,225.4280700683594,25,131.5282519531537
2018-03-24 10:39:59.19,2018-03-24 11:39:59.19,218.5303972959518,52.044976,5.170024,5,2.5977783203125,4,225.0076870756162,1.690000057220459,1.565794702808538,280.8984375,226.7501373291016,225.4280700683594,25,131.5282519531537
2018-03-24 10:40:01.00,2018-03-24 11:40:01.00,223.5303971767426,52.044987,5.169948,5,2.54248046875,4,230.3444258052882,0.7799999713897705,1.565794702808538,280.546875,195.0412292480469,193.7191619873047,25,307.3428093378268
2018-03-24 10:40:14.19,2018-03-24 11:40:14.19,223.5303971767426,52.044987,5.169948,5,4.39813232421875,4,230.3444258052882,0.7799999713897705,0.2133333285649618,280.546875,195.0412292480469,193.7191619873047,25,307.3428093378268
2018-03-24 10:40:29.19,2018-03-24 11:40:29.19,223.5303971767426,52.044987,5.169948,5,3.10614013671875,4,230.3444258052882,0.7799999713897705,0,280.546875,195.0412292480469,193.7191619873047,25,307.3428093378268
